address,id,balance
bitcoinaddress_D655B65519DCA2553AADE471971DDBFC7F531AD1,688303883,7225500000000000
bitcoinaddress_0D13E2A0DCFD6C97765C4DBD6B7A32709F56C796,723617872,7190000000000000
bitcoinaddress_4A4A07210ABA776C1BE16D43BEE69C93AC416045,227330486,6056051859508142
bitcoinaddress_3630B77E34B1CE0CE6709311AB858FB12F28E235,651559226,4882838393938273
bitcoinaddress_51B57F841E011AF81A4F99DDD181088C81B102AF,373607583,4796426051629631
bitcoinaddress_06F1B66F6D8AF8B3E984E5D807C0E1DD69647962,81010068,4350253464954769
bitcoinaddress_06F1B66F8567C6E527FC89B4D664069D20B09693,318542091,4191724425321738
bitcoinaddress_06F1B66F5A691FF3169702D615B77D0AF1451E77,86289230,4112782883426088
bitcoinaddress_147817677F02B8902230608F186D239D61785563,852991790,4094217658920954
bitcoinaddress_39BD2435AB7D89F2E2D7459EB9DA1321075717C4,474733955,4052000000000000
bitcoinaddress_E5180F1FA2B9B556B062569C0296905AF3776156,100092570,4050500000000000
bitcoinaddress_EF5F41C12037642C820FDD18E744CA2DE70142CC,874744496,3753308177917787
bitcoinaddress_06F1B66FD59A34755C37A8F701F43E937CDBEB13,3855264,3705006025392460
bitcoinaddress_06F1B66FFE49DF7FCE684DF16C62F59DC9ADBD3F,573011668,3674009331177606
bitcoinaddress_06F1B66FB6C0E253F24C74D3ED972FF447CA285C,443713568,3553873868910631
bitcoinaddress_06F1B6703D3F56427BFCFD372F952D50D04B64BD,418849753,3092004817939742
bitcoinaddress_29C4379896D1F89567EDD7661BDD70C915B8FC10,804910064,2856000000000000
bitcoinaddress_B64A517CD878290151C55C8612A5DB10AA2FAB38,121537926,2826800001000001
bitcoinaddress_5BBAE383A347D9C0A59D89B25E39FD8926C6C234,598240696,2760885272940925
bitcoinaddress_76CAF6167113806D753413426FB207C09C3888BD,183438445,2749218029197048
bitcoinaddress_72A5454371B5CEE07F96DC4A85883A1C13F4DE02,426721055,2717587809053079
bitcoinaddress_06F1B66FC9E59A7B4554CF2E6094032CD9EE45C4,564444711,2655830570942731
bitcoinaddress_06F1B66E25393FABD2B23A237E4BDFD4C2C35FAC,328830484,2396058105482245
bitcoinaddress_FFB5E42E37109ADD0F7D14E605626348DF8A6968,570795846,2127679294363581
bitcoinaddress_24B20439B3977F83AB384285D1B252C05D91BD27,29274245,2109080000000000
bitcoinaddress_E980860C729DB297BEA989FEBBCFE0C4E97AD7E5,566804109,1918931759000000
bitcoinaddress_4B7CEADACAEF5A9E6CAB98AA583B81FA68003413,155248923,1908000000000000
